Hour,Microgrid,DER,Type,P_kW,Q_kvar,Rating_kVA
13,MG1,mg1_gen3,Battery,-96.84289440676667,-0.0006977481471622015,100.0
13,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
13,MG2,mg2_gen1,Solar,318.7530510809624,0.0023712434896460766,375.0
13,MG2,mg2_gen5,Solar,318.7531232811767,0.002366961200003061,375.0
13,MG2,mg2_gen3,Battery,-48.42152092622368,-0.0003622515549361651,50.0
13,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
13,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
13,MG3,stor42,Battery,-0.0,-0.0,1200.0
13,MG3,gen401,Diesel,-0.0,-0.0,1200.0
13,MG4,stor105,Battery,-0.0,-0.0,1200.0
13,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
14,MG1,mg1_gen1,Solar,87.50053800865757,0.0004930446785465393,125.0
14,MG1,mg1_gen2,Solar,87.50054114197624,0.0004957843665274595,125.0
14,MG1,mg1_gen3,Battery,-96.8427097334573,-0.0005554034900424086,100.0
14,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
14,MG2,mg2_gen1,Solar,262.50185887621797,0.0015167322766210418,375.0
14,MG2,mg2_gen5,Solar,262.5018911871921,0.0015098279711728536,375.0
14,MG2,mg2_gen3,Battery,-48.42139858036394,-0.0002810979444850545,50.0
14,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
14,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
14,MG3,stor42,Battery,-0.0,-0.0,1200.0
14,MG3,gen401,Diesel,-0.0,-0.0,1200.0
14,MG4,stor105,Battery,-0.0,-0.0,1200.0
14,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
15,MG1,mg1_gen1,Solar,62.4997648219218,-0.0002138034127053743,125.0
15,MG1,mg1_gen2,Solar,62.49976539277306,-0.0002131211805669864,125.0
15,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
15,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
15,MG2,mg2_gen1,Solar,187.49882779352765,-0.0009934653536502083,375.0
15,MG2,mg2_gen5,Solar,187.4987709152541,-0.00103269045727302,375.0
15,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
15,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
15,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
15,MG3,stor42,Battery,-0.0,-0.0,1200.0
15,MG3,gen401,Diesel,-0.0,-0.0,1200.0
15,MG4,stor105,Battery,-0.0,-0.0,1200.0
15,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
16,MG1,mg1_gen1,Solar,37.49970408499561,-0.00028040298775499657,125.0
16,MG1,mg1_gen2,Solar,37.49970352468897,-0.00028064522013346505,125.0
16,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
16,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
